filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
14	25/11/2019	cel5	CL	1	3274,100098	555,7600098	2744,47998	V000186	N5550813	0	CL - SMARTPHONE	CL - PREMIUM
33	11/12/2019	lavaseca210kg	LB	1	2841,969971	372,2000122	2704,709961	V8731513	H503420	1	LB - LAVANDERIA	LB - LAVA & SECA
33	16/12/2019	lavaseca110kg	LB	1	2869,689941	393,6199951	2704,709961	V111386	X835184	1	LB - LAVANDERIA	LB - LAVA & SECA
6B	06/12/2019	cel3	CL	1	3199	24,37999916	3331,560059	V110341	B005505	0	CL - SMARTPHONE	CL - PREMIUM
14	25/11/2019	cel5	CL	1	3374,100098	645,5	2744,47998	V000186	Y4534881	0	CL - SMARTPHONE	CL - PREMIUM
33	11/12/2019	lavaseca210kg	LB	1	2965	410,2799988	2704,709961	V8731513	N2425811	0	LB - LAVANDERIA	LB - LAVA & SECA
60	13/12/2019	lavaseca110kg	LB	1	2950	475,9700012	2622,73999	V1187041	B004810	1	LB - LAVANDERIA	LB - LAVA & SECA
1D	16/11/2019	cel3	CL	1	3070,72998	-187,1799927	3331,560059	V110308	B814281811	0	CL - SMARTPHONE	CL - PREMIUM
38	28/11/2019	cel5	CL	1	3602,310059	555,0100098	3272,149902	V11878786	N5152810	0	CL - SMARTPHONE	CL - PREMIUM
33	03/12/2019	lavaseca210kg	LB	1	2678,310059	253,4199982	2704,709961	V000186	M5811431	0	LB - LAVANDERIA	LB - LAVA & SECA
33	28/11/2019	lavaseca110kg	LB	1	2599	323,3999939	2656,75	V8731331	H44818125	0	LB - LAVANDERIA	LB - LAVA & SECA
14	01/11/2019	cel3	CL	1	3694,550049	537,9500122	2744,629883	V1118736	O802352	1	CL - SMARTPHONE	CL - PREMIUM
43	28/12/2019	cel5	CL	1	3322,350098	301,2900085	3298,719971	V101143	B445105	1	CL - SMARTPHONE	CL - PREMIUM
33	27/12/2019	lavaseca210kg	LB	1	2841,969971	401,1700134	2704,709961	V87310871	L358050	0	LB - LAVANDERIA	LB - LAVA & SECA
33	28/11/2019	lavaseca110kg	LB	1	2599	182,2400055	2656,75	V106380	H450184	0	LB - LAVANDERIA	LB - LAVA & SECA
20	02/11/2019	cel3	CL	1	3918,72998	527,1900024	3331,560059	V8731633	H303100	0	CL - SMARTPHONE	CL - PREMIUM
14	29/11/2019	cel5	CL	1	3199	354,9500122	2744,47998	V111613	O108012	1	CL - SMARTPHONE	CL - PREMIUM
14	30/12/2019	lavaseca210kg	LB	1	2850	5,960000038	2005,180054	V87387666	H524555	1	LB - LAVANDERIA	LB - LAVA & SECA
